Uniname,allurl
"
									Aalto University
								",https://datadirect.aacsb.edu/public/profiles/profile.cfm?runReport=1&unitid=55340&userType=All
"
									Aarhus University
								",https://datadirect.aacsb.edu/public/profiles/profile.cfm?runReport=1&unitid=55087&userType=All
"
									Abilene Christian University
								",https://datadirect.aacsb.edu/public/profiles/profile.cfm?runReport=1&unitid=54346&userType=All
"
									Abu Dhabi University
								",https://datadirect.aacsb.edu/public/profiles/profile.cfm?runReport=1&unitid=87687&userType=All
"
									Adelphi University
								",https://datadirect.aacsb.edu/public/profiles/profile.cfm?runReport=1&unitid=54347&userType=All
"
									Adolfo Ibanez University
								",https://datadirect.aacsb.edu/public/profiles/profile.cfm?runReport=1&unitid=54348&userType=All
"
									Alfred University
								",https://datadirect.aacsb.edu/public/profiles/profile.cfm?runReport=1&unitid=54361&userType=All
"
									American University
								",https://datadirect.aacsb.edu/public/profiles/profile.cfm?runReport=1&unitid=54367&userType=All
"
									The American University in Cairo
								",https://datadirect.aacsb.edu/public/profiles/profile.cfm?runReport=1&unitid=55120&userType=All
"
									American University of Beirut
								",https://datadirect.aacsb.edu/public/profiles/profile.cfm?runReport=1&unitid=54368&userType=All
